z,a,N,H_over_H0,D,f,sigma8_z,fsigma8
2.599817984,0.2777918229323452,-1.2808832841838644,3.83337812,0.35147883946340747,0.9885268739483966,0.281183071570726,0.277957022747018
2.597322397,0.2779845367304175,-1.280189790110411,3.829582527,0.351719864381116,0.9884480955163776,0.28137589150489284,0.2781254640822342
2.594828541,0.27817738414912624,-1.27949629629432,3.825791068,0.35196103525749023,0.9883692607791797,0.2815688282059922,0.2782939745924164
2.592336413,0.2783703654204504,-1.2788028022348878,3.82200374,0.3522023523267421,0.9882903694192079,0.28176188186139367,0.27846255431304795
2.589846014,0.2785634804668811,-1.2781093085440431,3.818220538,0.35244381543590086,0.9882114212452134,0.2819550523487207,0.27863120300879785
2.58735734,0.2787567295986187,-1.2774158144413985,3.814441458,0.3526854249166145,0.9881324159072787,0.2821483399332916,0.27879992078251153
2.584870392,0.27895011273813436,-1.2767223205389182,3.810666496,0.3529271806155737,0.9880533532138279,0.28234174449245897,0.27896870739801594
2.582385168,0.27914363004084436,-1.2760288266126034,3.806895649,0.35316908267055114,0.9879742328778879,0.2825352661364409,0.2791375628221001
2.579901667,0.27933728158461174,-1.2753353327169394,3.803128911,0.35341113112219347,0.9878950546440255,0.28272890489775476,0.2793064869534129
2.577419888,0.2795310674473446,-1.2746418389063308,3.799366279,0.3536533260110421,0.9878158182566287,0.2829226608088337,0.2794754796902207
2.574939829,0.27972498778524196,-1.2739483449553763,3.795607748,0.35389566747531276,0.9877365234279111,0.2831165339802502,0.2796445409986124
2.572461489,0.2799190426766277,-1.2732548509177364,3.791853315,0.35413815555571787,0.9876571699017687,0.28331052444457433,0.27981367077631414
2.569984868,0.28011323212140854,-1.2725613571271024,3.788102976,0.3543807901948323,0.9875777574540098,0.28350463215586585,0.27998286885231394
2.567509963,0.2803075563548188,-1.271867863076938,3.784356726,0.35462357162910096,0.9874982857640514,0.28369885730328076,0.28015213526021
2.565036774,0.28050201537696673,-1.2711743691005748,3.780614561,0.35486649980101853,0.9874187546073115,0.28389319984081485,0.28032146982830203
2.5625653,0.2806966092663621,-1.270480875251341,3.776876477,0.35510957475088334,0.9873391637269956,0.28408765980070666,0.2804908724527889
2.560095539,0.2808913381804611,-1.2697873813015916,3.773142471,0.3553527966174338,0.987259512833867,0.284282237293947,0.2806603430981439
2.55762749,0.28108620219819586,-1.269093887303902,3.769412537,0.355596165441146,0.9871798016706573,0.28447693235291677,0.28082988166002937
2.555161152,0.28128120139854634,-1.2684003933107635,3.765686673,0.3558396812623935,0.9871000299799324,0.2846717450099148,0.2809994880337266
2.552696524,0.2814763358605408,-1.267706899374581,3.761964873,0.35608334412144876,0.9870201975040942,0.28486667529715903,0.28116916211413656
2.550233605,0.28167160566325605,-1.2670134055476736,3.758247135,0.35632715405848236,0.9869403039853837,0.2850617232467859,0.2813389037957802
2.547772393,0.2818670109652663,-1.2663199116004062,3.754533453,0.35657111121274876,0.9868603491333718,0.285256888970199,0.2815087130418301
2.545312888,0.282062551766517,-1.2656264178664003,3.750823824,0.3568152155252888,0.9867803327223956,0.285452172420231,0.2816785896771662
2.542855087,0.2822582283055711,-1.2649329238331968,3.747118244,0.3570594672348552,0.9867002544290111,0.2856475737878842,0.2818485337335351
2.54039899,0.28245404058258416,-1.2642394298340445,3.743416708,0.3573038662824176,0.9866201140271946,0.2858430930259341,0.2820185450351331
2.537944596,0.28264998867721103,-1.2635459359202366,3.739719214,0.35754841270803106,0.9865399112582596,0.28603873016642484,0.28218862347481
2.535491904,0.2828460726691569,-1.262852442142976,3.736025755,0.357793106551651,0.9864596458633677,0.2862344852413208,0.28235876894503664
2.533040911,0.2830422927984034,-1.2621589479872923,3.73233633,0.35803794805305295,0.9863793175179332,0.28643035844244236,0.2825289814768733
2.530591618,0.28323864898497586,-1.261465454069508,3.728650933,0.3582829370525934,0.986298926028221,0.28662634964207473,0.28269926082336766
2.528144023,0.28343514138906795,-1.2607719601571201,3.72496956,0.35852807369015066,0.9862184711020504,0.28682245895212055,0.28286960694549096
2.525698125,0.2836317700909235,-1.26007846630038,3.721292208,0.35877335800567534,0.9861379524798444,0.28701868640454026,0.2830400197344279
2.523253922,0.28382853525139706,-1.2593849722656183,3.717618873,0.35901879013949906,0.9860573698688891,0.28721503211159927,0.2832104991507721
