z,H_over_H0,dL,w_phi,w_tot
2.151551859e-01,1.116423938e+00,2.480358597e-01,-9.994920518e-01,-5.721853701e-01
2.159981809e-01,1.116941015e+00,2.491259003e-01,-9.994895792e-01,-5.716912214e-01
2.168417607e-01,1.117458880e+00,2.502175453e-01,-9.994870955e-01,-5.711969227e-01
2.176859258e-01,1.117977534e+00,2.513107963e-01,-9.994846007e-01,-5.707024748e-01
2.185306764e-01,1.118496977e+00,2.524056547e-01,-9.994820949e-01,-5.702078787e-01
2.193760132e-01,1.119017211e+00,2.535021220e-01,-9.994795778e-01,-5.697131354e-01
2.202219363e-01,1.119538237e+00,2.546001995e-01,-9.994770496e-01,-5.692182457e-01
2.210684463e-01,1.120060056e+00,2.556998888e-01,-9.994745100e-01,-5.687232106e-01
2.219155435e-01,1.120582669e+00,2.568011913e-01,-9.994719592e-01,-5.682280311e-01
2.227632284e-01,1.121106077e+00,2.579041085e-01,-9.994693969e-01,-5.677327081e-01
2.236115014e-01,1.121630281e+00,2.590086417e-01,-9.994668233e-01,-5.672372425e-01
2.244603629e-01,1.122155282e+00,2.601147925e-01,-9.994642382e-01,-5.667416353e-01
2.253098132e-01,1.122681082e+00,2.612225622e-01,-9.994616416e-01,-5.662458875e-01
